country,year,age_group,mfpr
afg,2015,60_64,43.490750
afg,2015,65,24.987370
afg,2015,total_15,49.582630
afg,2016,15_19,27.702070
afg,2016,20_24,52.242130
afg,2016,25_29,58.944390
afg,2016,30_34,60.299530
afg,2016,35_39,61.208440
afg,2016,40_44,60.496380
afg,2016,45_49,60.049050
afg,2016,50_54,57.509340
afg,2016,55_59,52.965230
afg,2016,60_64,43.601620
afg,2016,65,24.995380
afg,2016,total_15,49.724820
afg,2017,15_19,27.715630
afg,2017,20_24,52.330890
afg,2017,25_29,59.049100
afg,2017,30_34,60.428790
afg,2017,35_39,61.345920
afg,2017,40_44,60.630560
afg,2017,45_49,60.192300
afg,2017,50_54,57.650020
afg,2017,55_59,53.115340
afg,2017,60_64,43.704580
afg,2017,65,24.994830
afg,2017,total_15,49.889380
afg,2018,15_19,27.728980
afg,2018,20_24,52.420590
afg,2018,25_29,59.151280
afg,2018,30_34,60.557730
afg,2018,35_39,61.485330
afg,2018,40_44,60.767440
afg,2018,45_49,60.336980
afg,2018,50_54,57.793130
afg,2018,55_59,53.265660
afg,2018,60_64,43.802880
afg,2018,65,24.986170
afg,2018,total_15,50.068840
afg,2019,15_19,27.742080
afg,2019,20_24,52.509980
afg,2019,25_29,59.253930
afg,2019,30_34,60.684110
afg,2019,35_39,61.626600
afg,2019,40_44,60.906880
afg,2019,45_49,60.483340
afg,2019,50_54,57.938670
afg,2019,55_59,53.418210
afg,2019,60_64,43.899050
afg,2019,65,24.969750
afg,2019,total_15,50.252720
afg,2020,15_19,27.754410
afg,2020,20_24,52.598480
afg,2020,25_29,59.359580
afg,2020,30_34,60.806660
afg,2020,35_39,61.769290
afg,2020,40_44,61.048210
afg,2020,45_49,60.632470
afg,2020,50_54,58.086770
afg,2020,55_59,53.574210
afg,2020,60_64,43.995320
afg,2020,65,24.946050
afg,2020,total_15,50.434100
alb,1990,15_19,46.525340
alb,1990,20_24,66.673040
alb,1990,25_29,73.317860
alb,1990,30_34,76.855330
alb,1990,35_39,80.679240
alb,1990,40_44,82.763920
alb,1990,45_49,81.328060
alb,1990,50_54,73.970050
alb,1990,55_59,53.927440
alb,1990,60_64,33.882170
alb,1990,65,18.076010
alb,1990,total_15,63.978080
alb,1991,15_19,48.080600
alb,1991,20_24,68.704000
alb,1991,25_29,72.048650
alb,1991,30_34,75.584400
alb,1991,35_39,80.105650
alb,1991,40_44,82.548840
alb,1991,45_49,81.741290
alb,1991,50_54,74.129660
alb,1991,55_59,55.813980
alb,1991,60_64,34.523100
alb,1991,65,20.812520
alb,1991,total_15,64.438320
alb,1992,15_19,47.997370
alb,1992,20_24,68.863480
alb,1992,25_29,71.627470
alb,1992,30_34,75.148800
alb,1992,35_39,79.862400
alb,1992,40_44,82.426670
alb,1992,45_49,81.838940
alb,1992,50_54,74.094500
alb,1992,55_59,56.528770
alb,1992,60_64,34.955740
alb,1992,65,21.394970
alb,1992,total_15,64.351330
alb,1993,15_19,48.040590
alb,1993,20_24,68.396800
alb,1993,25_29,72.136250
alb,1993,30_34,75.669650
alb,1993,35_39,80.103000
alb,1993,40_44,82.509480
alb,1993,45_49,81.723110
alb,1993,50_54,73.760030
alb,1993,55_59,55.775340
alb,1993,60_64,34.753220
alb,1993,65,20.456690
alb,1993,total_15,64.204800
alb,1994,15_19,47.830180
alb,1994,20_24,67.846360
alb,1994,25_29,72.474780
alb,1994,30_34,76.012340
alb,1994,35_39,80.240610
alb,1994,40_44,82.537450
alb,1994,45_49,81.619310
alb,1994,50_54,73.520070
alb,1994,55_59,55.186560
alb,1994,60_64,34.673770
alb,1994,65,19.677430
alb,1994,total_15,63.945080
alb,1995,15_19,47.113170
alb,1995,20_24,66.883790
alb,1995,25_29,72.831170
alb,1995,30_34,76.365430
alb,1995,35_39,80.358250
alb,1995,40_44,82.545430
alb,1995,45_49,81.449760
alb,1995,50_54,73.367430
alb,1995,55_59,54.521140
alb,1995,60_64,34.640660
alb,1995,65,18.645220
alb,1995,total_15,63.497830
alb,1996,15_19,46.316960
alb,1996,20_24,66.077930
alb,1996,25_29,72.961120
alb,1996,30_34,76.517910
alb,1996,35_39,80.382260
alb,1996,40_44,82.496120
alb,1996,45_49,81.292190
alb,1996,50_54,73.338350
alb,1996,55_59,54.095130
alb,1996,60_64,34.789420
alb,1996,65,18.084350
alb,1996,total_15,63.222570
alb,1997,15_19,47.137840
alb,1997,20_24,66.787890
alb,1997,25_29,72.689360
alb,1997,30_34,76.242650
alb,1997,35_39,80.303690
alb,1997,40_44,82.447070
alb,1997,45_49,81.347030
alb,1997,50_54,73.357480
alb,1997,55_59,54.101900
alb,1997,60_64,34.839670
alb,1997,65,18.947630
alb,1997,total_15,63.347650
alb,1998,15_19,46.093160
alb,1998,20_24,65.717320
alb,1998,25_29,72.896830
alb,1998,30_34,76.376320
alb,1998,35_39,80.355110
alb,1998,40_44,82.416000
alb,1998,45_49,81.146770
alb,1998,50_54,73.389090
alb,1998,55_59,53.659810
alb,1998,60_64,34.887850
alb,1998,65,18.227410
alb,1998,total_15,62.871250
alb,1999,15_19,44.977610
alb,1999,20_24,64.688900
alb,1999,25_29,72.965860
alb,1999,30_34,76.337940
alb,1999,35_39,80.320600
alb,1999,40_44,82.367200
alb,1999,45_49,80.996820
alb,1999,50_54,73.462880
alb,1999,55_59,53.562400
alb,1999,60_64,35.012890
alb,1999,65,17.731980
alb,1999,total_15,62.331170
alb,2000,15_19,44.014250
alb,2000,20_24,63.835970
alb,2000,25_29,72.940230
alb,2000,30_34,76.227070
alb,2000,35_39,80.229680
alb,2000,40_44,82.326040
alb,2000,45_49,80.899230
alb,2000,50_54,73.533650
alb,2000,55_59,53.666660
alb,2000,60_64,35.143520
alb,2000,65,17.432140
alb,2000,total_15,61.803400
alb,2001,15_19,43.005760
alb,2001,20_24,63.082130
alb,2001,25_29,72.879160
alb,2001,30_34,76.154240
alb,2001,35_39,80.059140
alb,2001,40_44,82.249680
alb,2001,45_49,80.783350
alb,2001,50_54,73.584110
alb,2001,55_59,53.796890
alb,2001,60_64,35.285520
alb,2001,65,17.043520
alb,2001,total_15,61.360340
alb,2002,15_19,42.590330
alb,2002,20_24,62.816100
alb,2002,25_29,72.797900
alb,2002,30_34,76.139400
alb,2002,35_39,79.915090
alb,2002,40_44,82.215950
alb,2002,45_49,80.722120
alb,2002,50_54,73.591150
alb,2002,55_59,53.897970
alb,2002,60_64,35.326550
alb,2002,65,16.899190
alb,2002,total_15,61.105320
alb,2003,15_19,42.157520
alb,2003,20_24,62.628620
alb,2003,25_29,72.726980
alb,2003,30_34,76.224980
alb,2003,35_39,79.831940
alb,2003,40_44,82.217450
alb,2003,45_49,80.741610
alb,2003,50_54,73.717880
alb,2003,55_59,54.272680
alb,2003,60_64,35.503880
alb,2003,65,16.959680
alb,2003,total_15,60.955350
alb,2004,15_19,41.723500
alb,2004,20_24,62.450280
alb,2004,25_29,72.675390
alb,2004,30_34,76.299120
alb,2004,35_39,79.771510
alb,2004,40_44,82.201660
alb,2004,45_49,80.770370
alb,2004,50_54,73.845570
alb,2004,55_59,54.647950
alb,2004,60_64,35.702380
alb,2004,65,17.013290
alb,2004,total_15,60.820470
alb,2005,15_19,41.286090
alb,2005,20_24,62.272850
alb,2005,25_29,72.666060
alb,2005,30_34,76.336280
alb,2005,35_39,79.742100
alb,2005,40_44,82.158190
alb,2005,45_49,80.802070
alb,2005,50_54,73.976000
alb,2005,55_59,55.001920
alb,2005,60_64,35.919270
alb,2005,65,17.060030
alb,2005,total_15,60.691490
alb,2006,15_19,40.848800
alb,2006,20_24,62.105630
alb,2006,25_29,72.714740
alb,2006,30_34,76.365720
alb,2006,35_39,79.741540
alb,2006,40_44,82.095880
alb,2006,45_49,80.822880
alb,2006,50_54,74.114100
alb,2006,55_59,55.324770
alb,2006,60_64,36.100300
alb,2006,65,17.136480
alb,2006,total_15,60.554690
alb,2007,15_19,40.406060
alb,2007,20_24,61.952000
alb,2007,25_29,72.781200
alb,2007,30_34,76.361530
alb,2007,35_39,79.780460
alb,2007,40_44,82.007710
alb,2007,45_49,80.851850
alb,2007,50_54,74.240870
alb,2007,55_59,55.647000
alb,2007,60_64,36.306250
alb,2007,65,17.197400
alb,2007,total_15,60.464340
alb,2008,15_19,39.958110
alb,2008,20_24,61.803260
alb,2008,25_29,72.852050
alb,2008,30_34,76.343380
alb,2008,35_39,79.844570
alb,2008,40_44,81.909060
alb,2008,45_49,80.880510
alb,2008,50_54,74.351890
alb,2008,55_59,55.964330
alb,2008,60_64,36.540670
alb,2008,65,17.244730
alb,2008,total_15,60.419230
alb,2009,15_19,39.507380
alb,2009,20_24,61.639330
alb,2009,25_29,72.922130
alb,2009,30_34,76.348950
alb,2009,35_39,79.900790
alb,2009,40_44,81.823730
alb,2009,45_49,80.888640
alb,2009,50_54,74.458940
alb,2009,55_59,56.269250
alb,2009,60_64,36.791550
alb,2009,65,17.283580
alb,2009,total_15,60.399840
alb,2010,15_19,39.057220
alb,2010,20_24,61.443460
alb,2010,25_29,72.994700
alb,2010,30_34,76.397470
alb,2010,35_39,79.925290
alb,2010,40_44,81.772640
alb,2010,45_49,80.864210
alb,2010,50_54,74.569330
alb,2010,55_59,56.558440
alb,2010,60_64,37.039300
alb,2010,65,17.317240
alb,2010,total_15,60.383820
alb,2011,15_19,38.611840
alb,2011,20_24,61.211610
alb,2011,25_29,73.076400
alb,2011,30_34,76.462570
alb,2011,35_39,79.910260
alb,2011,40_44,81.762290
alb,2011,45_49,80.805350
alb,2011,50_54,74.699790
alb,2011,55_59,56.792630
alb,2011,60_64,37.261140
alb,2011,65,17.335100
alb,2011,total_15,60.326570
alb,2012,15_19,38.168150
alb,2012,20_24,60.944310
alb,2012,25_29,73.166560
alb,2012,30_34,76.555430
alb,2012,35_39,79.857500
alb,2012,40_44,81.795390
alb,2012,45_49,80.700240
alb,2012,50_54,74.843650
alb,2012,55_59,57.015310
alb,2012,60_64,37.460880
alb,2012,65,17.349420
alb,2012,total_15,60.240430
alb,2013,15_19,37.726040
alb,2013,20_24,60.654560
alb,2013,25_29,73.254200
alb,2013,30_34,76.670920
alb,2013,35_39,79.787100
alb,2013,40_44,81.848670
alb,2013,45_49,80.578990
alb,2013,50_54,74.988720
alb,2013,55_59,57.248780
alb,2013,60_64,37.644540
alb,2013,65,17.359980
alb,2013,total_15,60.130880
alb,2014,15_19,37.283900
alb,2014,20_24,60.366620
alb,2014,25_29,73.322460
alb,2014,30_34,76.803460
alb,2014,35_39,79.735690
alb,2014,40_44,81.888000
alb,2014,45_49,80.485920
alb,2014,50_54,75.112390
alb,2014,55_59,57.509960
alb,2014,60_64,37.819330
alb,2014,65,17.367310
alb,2014,total_15,60.009720
alb,2015,15_19,36.840980
alb,2015,20_24,60.096820
alb,2015,25_29,73.365200
alb,2015,30_34,76.950180
alb,2015,35_39,79.726650
alb,2015,40_44,81.889870
alb,2015,45_49,80.450080
alb,2015,50_54,75.198620
alb,2015,55_59,57.800540
alb,2015,60_64,37.993530
alb,2015,65,17.372950
alb,2015,total_15,59.885520
alb,2016,15_19,36.396790
alb,2016,20_24,59.838980
alb,2016,25_29,73.383700
alb,2016,30_34,77.112420
alb,2016,35_39,79.756280
alb,2016,40_44,81.861310
alb,2016,45_49,80.463600
alb,2016,50_54,75.238680
alb,2016,55_59,58.092020
alb,2016,60_64,38.146640
alb,2016,65,17.403750
alb,2016,total_15,59.786970
alb,2017,15_19,35.952460
alb,2017,20_24,59.597690
alb,2017,25_29,73.378790
alb,2017,30_34,77.293450
alb,2017,35_39,79.815840
alb,2017,40_44,81.798930
alb,2017,45_49,80.537460
alb,2017,50_54,75.240730
alb,2017,55_59,58.417110
alb,2017,60_64,38.299260
alb,2017,65,17.427440
alb,2017,total_15,59.681040
alb,2018,15_19,35.507860
alb,2018,20_24,59.366730
alb,2018,25_29,73.358310
alb,2018,30_34,77.476180
alb,2018,35_39,79.896680
alb,2018,40_44,81.720110
alb,2018,45_49,80.641700
alb,2018,50_54,75.230260
alb,2018,55_59,58.752710
alb,2018,60_64,38.459360
alb,2018,65,17.448860
alb,2018,total_15,59.566930
alb,2019,15_19,35.062600
alb,2019,20_24,59.135960
alb,2019,25_29,73.339020
alb,2019,30_34,77.634090
alb,2019,35_39,79.993260
alb,2019,40_44,81.660640
alb,2019,45_49,80.727200
alb,2019,50_54,75.251660
alb,2019,55_59,59.062810
alb,2019,60_64,38.633480
alb,2019,65,17.471300
alb,2019,total_15,59.445340
alb,2020,15_19,34.616590
alb,2020,20_24,58.898820
alb,2020,25_29,73.334080
alb,2020,30_34,77.754430
alb,2020,35_39,80.100580
alb,2020,40_44,81.646610
alb,2020,45_49,80.765970
alb,2020,50_54,75.332860
alb,2020,55_59,59.325520
alb,2020,60_64,38.823050
alb,2020,65,17.495790
alb,2020,total_15,59.316020
dza,1985,15_19,18.926470
dza,1985,20_24,37.067210
dza,1985,25_29,53.940880
dza,1985,30_34,54.032640
dza,1985,35_39,51.341870
dza,1985,40_44,51.573350
dza,1985,45_49,50.221440
dza,1985,50_54,49.737670
dza,1985,55_59,42.926450
dza,1985,60_64,30.958850
dza,1985,65,13.440290
dza,1986,15_19,19.815570
dza,1986,20_24,38.576850
dza,1986,25_29,54.157860
dza,1986,30_34,54.241100
dza,1986,35_39,51.613730
dza,1986,40_44,51.481160
dza,1986,45_49,50.130810
dza,1986,50_54,49.576640
dza,1986,55_59,43.064450
dza,1986,60_64,30.189110
dza,1986,65,12.541120
dza,1987,15_19,20.741730
dza,1987,20_24,40.066120
dza,1987,25_29,54.382210
dza,1987,30_34,54.342440
dza,1987,35_39,52.060540
dza,1987,40_44,51.250890
dza,1987,45_49,50.227050
dza,1987,50_54,49.249830
dza,1987,55_59,43.313440
dza,1987,60_64,29.384550
dza,1987,65,11.689570
dza,1988,15_19,21.706000
dza,1988,20_24,41.529950
dza,1988,25_29,54.611560
dza,1988,30_34,54.374600
dza,1988,35_39,52.531470
dza,1988,40_44,51.035180
dza,1988,45_49,50.419770
dza,1988,50_54,48.860520
dza,1988,55_59,43.561190
dza,1988,60_64,28.597200
dza,1988,65,10.882220
dza,1989,15_19,22.708220
dza,1989,20_24,42.963800
dza,1989,25_29,54.840310
dza,1989,30_34,54.389520
dza,1989,35_39,52.871810
dza,1989,40_44,51.033460
dza,1989,45_49,50.546720
dza,1989,50_54,48.557430
dza,1989,55_59,43.677350
dza,1989,60_64,27.889570
dza,1989,65,10.115550
dza,1990,15_19,23.748470
dza,1990,20_24,44.364500
dza,1990,25_29,55.066090
dza,1990,30_34,54.417050
dza,1990,35_39,53.027820
dza,1990,40_44,51.316660
dza,1990,45_49,50.512280
dza,1990,50_54,48.423210
dza,1990,55_59,43.611450
dza,1990,60_64,27.275920
dza,1990,65,9.388328
dza,1990,total_15,41.922100
dza,1991,15_19,24.824770
dza,1991,20_24,45.731210
dza,1991,25_29,55.296920
dza,1991,30_34,54.448260
dza,1991,35_39,53.054330
dza,1991,40_44,51.807620
dza,1991,45_49,50.337850
dza,1991,50_54,48.428290
dza,1991,55_59,43.383510
dza,1991,60_64,26.708840
dza,1991,65,8.721274
dza,1991,total_15,42.402180
dza,1992,15_19,25.941650
dza,1992,20_24,47.059890
dza,1992,25_29,55.530140
dza,1992,30_34,54.483040
dza,1992,35_39,52.962020
dza,1992,40_44,52.464870
dza,1992,45_49,50.023010
dza,1992,50_54,48.607400
dza,1992,55_59,43.010270
dza,1992,60_64,26.201890
dza,1992,65,8.087520
dza,1992,total_15,42.876000
dza,1993,15_19,27.100400
dza,1993,20_24,48.347840
dza,1993,25_29,55.766110
dza,1993,30_34,54.520340
dza,1993,35_39,52.790050
dza,1993,40_44,53.138980
dza,1993,45_49,49.721710
dza,1993,50_54,48.873850
dza,1993,55_59,42.582370
dza,1993,60_64,25.679740
dza,1993,65,7.492590
dza,1993,total_15,43.341810
dza,1994,15_19,28.302050
dza,1994,20_24,49.593100
dza,1994,25_29,56.005640
dza,1994,30_34,54.555280
dza,1994,35_39,52.594650
dza,1994,40_44,53.681160
dza,1994,45_49,49.633510
dza,1994,50_54,49.078250
dza,1994,55_59,42.229350
dza,1994,60_64,25.066570
dza,1994,65,6.941469
dza,1994,total_15,43.798770
dza,1995,15_19,29.547450
dza,1995,20_24,50.795150
dza,1995,25_29,56.249610
dza,1995,30_34,54.584880
dza,1995,35_39,52.410000
dza,1995,40_44,54.042230
dza,1995,45_49,49.827180
dza,1995,50_54,49.137210
dza,1995,55_59,42.021400
dza,1995,60_64,24.344240
dza,1995,65,6.433605
dza,1995,total_15,44.248680
dza,1996,15_19,30.833690
dza,1996,20_24,51.950540
dza,1996,25_29,56.495860
dza,1996,30_34,54.608060
dza,1996,35_39,52.226610
dza,1996,40_44,54.274340
dza,1996,45_49,50.211270
dza,1996,50_54,49.065360
dza,1996,55_59,41.925300
dza,1996,60_64,23.531350
dza,1996,65,5.974247
dza,1996,total_15,44.689140
dza,1997,15_19,30.302210
dza,1997,20_24,50.636470
dza,1997,25_29,56.526370
