country,year,age_group,mpr
alb,2000,20_24,75.0243
alb,2000,25_29,82.477
alb,2000,30_34,88.3088
alb,2000,35_39,90.8716
alb,2000,40_44,92.7217
alb,2000,45_49,94.7978
alb,2000,50_54,88.481
alb,2000,55_59,77.5185
alb,2000,60_64,47.5275
alb,2000,65,27.8817
alb,2000,total_15,73.0158
alb,2001,15_19,44.9019
alb,2001,20_24,74.304
alb,2001,25_29,82.5036
alb,2001,30_34,88.3813
alb,2001,35_39,90.8959
alb,2001,40_44,92.7818
alb,2001,45_49,94.8009
alb,2001,50_54,88.4245
alb,2001,55_59,77.3529
alb,2001,60_64,47.7826
alb,2001,65,27.3168
alb,2001,total_15,72.5517
alb,2002,15_19,44.5
alb,2002,20_24,74
alb,2002,25_29,82.5
alb,2002,30_34,88.4
alb,2002,35_39,90.9
alb,2002,40_44,92.8
alb,2002,45_49,94.8
alb,2002,50_54,88.4
alb,2002,55_59,77.3
alb,2002,60_64,47.9
alb,2002,65,27.1
alb,2002,total_15,72.2637
alb,2003,15_19,44.0833
alb,2003,20_24,73.7222
alb,2003,25_29,82.4333
alb,2003,30_34,88.4611
alb,2003,35_39,90.8945
alb,2003,40_44,92.8167
alb,2003,45_49,94.7833
alb,2003,50_54,88.4889
alb,2003,55_59,77.3389
alb,2003,60_64,48.0722
alb,2003,65,27.15
alb,2003,total_15,72.0501
alb,2004,15_19,43.6667
alb,2004,20_24,73.4444
alb,2004,25_29,82.3667
alb,2004,30_34,88.5222
alb,2004,35_39,90.8889
alb,2004,40_44,92.8333
alb,2004,45_49,94.7667
alb,2004,50_54,88.5778
alb,2004,55_59,77.3778
alb,2004,60_64,48.2445
alb,2004,65,27.2
alb,2004,total_15,71.8631
alb,2005,15_19,43.25
alb,2005,20_24,73.1667
alb,2005,25_29,82.3
alb,2005,30_34,88.5833
alb,2005,35_39,90.8833
alb,2005,40_44,92.85
alb,2005,45_49,94.75
alb,2005,50_54,88.6667
alb,2005,55_59,77.4167
alb,2005,60_64,48.4167
alb,2005,65,27.25
alb,2005,total_15,71.695
alb,2006,15_19,42.8333
alb,2006,20_24,72.8889
alb,2006,25_29,82.2333
alb,2006,30_34,88.6445
alb,2006,35_39,90.8778
alb,2006,40_44,92.8667
alb,2006,45_49,94.7333
alb,2006,50_54,88.7555
alb,2006,55_59,77.4556
alb,2006,60_64,48.5889
alb,2006,65,27.3
alb,2006,total_15,71.4949
alb,2007,15_19,42.4167
alb,2007,20_24,72.6111
alb,2007,25_29,82.1667
alb,2007,30_34,88.7056
alb,2007,35_39,90.8722
alb,2007,40_44,92.8833
alb,2007,45_49,94.7167
alb,2007,50_54,88.8444
alb,2007,55_59,77.4945
alb,2007,60_64,48.7611
alb,2007,65,27.35
alb,2007,total_15,71.3689
alb,2008,15_19,42
alb,2008,20_24,72.3333
alb,2008,25_29,82.1
alb,2008,30_34,88.7667
alb,2008,35_39,90.8667
alb,2008,40_44,92.9
alb,2008,45_49,94.7
alb,2008,50_54,88.9333
alb,2008,55_59,77.5333
alb,2008,60_64,48.9333
alb,2008,65,27.4
alb,2008,total_15,71.3165
alb,2009,15_19,41.5833
alb,2009,20_24,72.0556
alb,2009,25_29,82.0333
alb,2009,30_34,88.8278
alb,2009,35_39,90.8611
alb,2009,40_44,92.9167
alb,2009,45_49,94.6833
alb,2009,50_54,89.0222
alb,2009,55_59,77.5722
alb,2009,60_64,49.1056
alb,2009,65,27.45
alb,2009,total_15,71.3109
alb,2010,15_19,41.1667
alb,2010,20_24,71.7778
alb,2010,25_29,81.9667
alb,2010,30_34,88.8889
alb,2010,35_39,90.8556
alb,2010,40_44,92.9333
alb,2010,45_49,94.6667
alb,2010,50_54,89.1111
alb,2010,55_59,77.6111
alb,2010,60_64,49.2778
alb,2010,65,27.5
alb,2010,total_15,71.3225
alb,2011,15_19,40.75
alb,2011,20_24,71.5
alb,2011,25_29,81.9
alb,2011,30_34,88.95
alb,2011,35_39,90.85
alb,2011,40_44,92.95
alb,2011,45_49,94.65
alb,2011,50_54,89.2
alb,2011,55_59,77.65
alb,2011,60_64,49.45
alb,2011,65,27.55
alb,2011,total_15,71.3083
alb,2012,15_19,40.3333
alb,2012,20_24,71.2222
alb,2012,25_29,81.8333
alb,2012,30_34,89.0111
alb,2012,35_39,90.8444
alb,2012,40_44,92.9667
alb,2012,45_49,94.6333
alb,2012,50_54,89.2889
alb,2012,55_59,77.6889
alb,2012,60_64,49.6222
alb,2012,65,27.6
alb,2012,total_15,71.2685
alb,2013,15_19,39.9167
alb,2013,20_24,70.9444
alb,2013,25_29,81.7667
alb,2013,30_34,89.0722
alb,2013,35_39,90.8389
alb,2013,40_44,92.9833
alb,2013,45_49,94.6167
alb,2013,50_54,89.3778
alb,2013,55_59,77.7278
alb,2013,60_64,49.7944
alb,2013,65,27.65
alb,2013,total_15,71.205
alb,2014,15_19,39.5
alb,2014,20_24,70.6667
alb,2014,25_29,81.7
alb,2014,30_34,89.1333
alb,2014,35_39,90.8333
alb,2014,40_44,93
alb,2014,45_49,94.6
alb,2014,50_54,89.4667
alb,2014,55_59,77.7667
alb,2014,60_64,49.9667
alb,2014,65,27.7
alb,2014,total_15,71.1265
alb,2015,15_19,39.0833
alb,2015,20_24,70.3889
alb,2015,25_29,81.6333
alb,2015,30_34,89.1944
alb,2015,35_39,90.8278
alb,2015,40_44,93.0167
alb,2015,45_49,94.5833
alb,2015,50_54,89.5556
alb,2015,55_59,77.8056
alb,2015,60_64,50.1389
alb,2015,65,27.75
alb,2015,total_15,71.0398
alb,2016,15_19,38.6667
alb,2016,20_24,70.1111
alb,2016,25_29,81.5667
alb,2016,30_34,89.2555
alb,2016,35_39,90.8222
alb,2016,40_44,93.0333
alb,2016,45_49,94.5667
alb,2016,50_54,89.6445
alb,2016,55_59,77.8444
alb,2016,60_64,50.3111
alb,2016,65,27.8
alb,2016,total_15,70.9622
alb,2017,15_19,38.25
alb,2017,20_24,69.8333
alb,2017,25_29,81.5
alb,2017,30_34,89.3167
alb,2017,35_39,90.8167
alb,2017,40_44,93.05
alb,2017,45_49,94.55
alb,2017,50_54,89.7333
alb,2017,55_59,77.8833
alb,2017,60_64,50.4833
alb,2017,65,27.85
alb,2017,total_15,70.8782
alb,2018,15_19,37.8333
alb,2018,20_24,69.5556
alb,2018,25_29,81.4333
alb,2018,30_34,89.3778
alb,2018,35_39,90.8111
alb,2018,40_44,93.0667
alb,2018,45_49,94.5333
alb,2018,50_54,89.8222
alb,2018,55_59,77.9222
alb,2018,60_64,50.6556
alb,2018,65,27.9
alb,2018,total_15,70.7874
alb,2019,15_19,37.4167
alb,2019,20_24,69.2778
alb,2019,25_29,81.3667
alb,2019,30_34,89.4389
alb,2019,35_39,90.8056
alb,2019,40_44,93.0833
alb,2019,45_49,94.5167
alb,2019,50_54,89.9111
alb,2019,55_59,77.9611
