country,year,age_group,flf
afg,2017,30_34,234.565000
afg,2017,35_39,199.487100
afg,2017,40_44,159.887100
afg,2017,45_49,127.421300
afg,2017,50_54,92.365440
afg,2017,55_59,66.249130
afg,2017,60_64,38.712820
afg,2017,65,36.867680
afg,2017,total_15,1803.364000
afg,2018,15_19,227.379400
afg,2018,20_24,361.345600
afg,2018,25_29,298.306600
afg,2018,30_34,247.190600
afg,2018,35_39,210.232200
afg,2018,40_44,168.038900
afg,2018,45_49,133.932400
afg,2018,50_54,97.161720
afg,2018,55_59,69.790920
afg,2018,60_64,40.796920
afg,2018,65,38.699370
afg,2018,total_15,1892.875000
afg,2019,15_19,233.767800
afg,2019,20_24,378.603900
afg,2019,25_29,314.356800
afg,2019,30_34,260.555000
afg,2019,35_39,221.578900
afg,2019,40_44,176.701400
afg,2019,45_49,140.770700
afg,2019,50_54,102.229300
afg,2019,55_59,73.595050
afg,2019,60_64,43.051300
afg,2019,65,40.574390
afg,2019,total_15,1985.785000
afg,2020,15_19,240.551600
afg,2020,20_24,394.751200
afg,2020,25_29,331.517000
afg,2020,30_34,274.733200
afg,2020,35_39,233.540200
afg,2020,40_44,185.963500
afg,2020,45_49,147.946800
afg,2020,50_54,107.571800
afg,2020,55_59,77.685750
afg,2020,60_64,45.458640
afg,2020,65,42.526870
afg,2020,total_15,2082.247000
alb,1990,15_19,70.741670
alb,1990,20_24,85.655480
alb,1990,25_29,96.749390
alb,1990,30_34,83.384090
alb,1990,35_39,66.995740
alb,1990,40_44,51.934600
alb,1990,45_49,48.714270
alb,1990,50_54,34.424210
alb,1990,55_59,14.017490
alb,1990,60_64,9.263698
alb,1990,65,9.157619
alb,1990,total_15,571.038300
alb,1991,15_19,71.672340
alb,1991,20_24,87.216830
alb,1991,25_29,94.389180
alb,1991,30_34,83.970350
alb,1991,35_39,69.636570
alb,1991,40_44,53.594110
alb,1991,45_49,49.271070
alb,1991,50_54,35.770630
alb,1991,55_59,14.902760
alb,1991,60_64,9.581775
alb,1991,65,11.572490
alb,1991,total_15,581.578100
alb,1992,15_19,69.931670
alb,1992,20_24,84.954960
alb,1992,25_29,91.168170
alb,1992,30_34,84.191000
alb,1992,35_39,71.737520
alb,1992,40_44,55.328580
alb,1992,45_49,48.133600
alb,1992,50_54,37.063160
alb,1992,55_59,15.406000
