country,year,age_group,fpr
afg,2018,15_19,10.31874
afg,2018,20_24,19.08476
afg,2018,25_29,19.68785
afg,2018,30_34,20.33384
afg,2018,35_39,21.57961
afg,2018,40_44,21.45104
afg,2018,45_49,21.1707
afg,2018,50_54,19.32582
afg,2018,55_59,17.87746
afg,2018,60_64,13.92443
afg,2018,65,8.016724
afg,2018,total_15,17.38681
afg,2019,15_19,10.40937
afg,2019,20_24,19.292379999999998
afg,2019,25_29,19.943929999999998
afg,2019,30_34,20.61692
afg,2019,35_39,21.88981
afg,2019,40_44,21.77552
afg,2019,45_49,21.48535
afg,2019,50_54,19.61291
afg,2019,55_59,18.18873
afg,2019,60_64,14.162220000000001
afg,2019,65,8.158361
afg,2019,total_15,17.64471
afg,2020,15_19,10.5
afg,2020,20_24,19.5
afg,2020,25_29,20.2
afg,2020,30_34,20.9
afg,2020,35_39,22.2
afg,2020,40_44,22.1
afg,2020,45_49,21.8
afg,2020,50_54,19.9
afg,2020,55_59,18.5
afg,2020,60_64,14.4
afg,2020,65,8.3
afg,2020,total_15,17.90154
alb,1990,15_19,44.81575
alb,1990,20_24,55.926219999999994
alb,1990,25_29,64.04571999999999
alb,1990,30_34,65.19068
alb,1990,35_39,69.90519
alb,1990,40_44,72.10635
alb,1990,45_49,66.79227
alb,1990,50_54,57.1527
alb,1990,55_59,27.607609999999998
alb,1990,60_64,21.67758
alb,1990,65,9.202065
alb,1990,total_15,52.6772
alb,1991,15_19,46.36736
alb,1991,20_24,58.526540000000004
alb,1991,25_29,63.53265
alb,1991,30_34,64.42409
alb,1991,35_39,69.67071999999999
alb,1991,40_44,72.83391999999999
alb,1991,45_49,67.99855
alb,1991,50_54,57.65087
alb,1991,55_59,28.712709999999998
alb,1991,60_64,21.99319
alb,1991,65,11.2733
alb,1991,total_15,53.42102
alb,1992,15_19,46.25508
alb,1992,20_24,58.865280000000006
alb,1992,25_29,63.35126999999999
alb,1992,30_34,64.12745
alb,1992,35_39,69.51108
alb,1992,40_44,72.96011999999999
alb,1992,45_49,68.27364
alb,1992,50_54,57.91209
alb,1992,55_59,29.307370000000002
alb,1992,60_64,22.181379999999997
alb,1992,65,11.74816
alb,1992,total_15,53.40186
alb,1993,15_19,46.37288
alb,1993,20_24,58.30746
alb,1993,25_29,63.62555
