country,year,age_group,mlf0
arg,2014,40_44,1235.946000
arg,2014,45_49,1075.802000
arg,2014,50_54,970.709400
arg,2014,55_59,812.587800
arg,2014,60_64,631.728700
arg,2014,65,469.992100
arg,2014,total_15,11532.670000
arg,2015,15_19,476.523600
arg,2015,20_24,1295.305000
arg,2015,25_29,1527.167000
arg,2015,30_34,1523.322000
arg,2015,35_39,1549.253000
arg,2015,40_44,1278.034000
arg,2015,45_49,1092.701000
arg,2015,50_54,983.131700
arg,2015,55_59,821.297300
arg,2015,60_64,642.519200
arg,2015,65,479.410400
arg,2015,total_15,11668.660000
arg,2016,15_19,473.383400
arg,2016,20_24,1295.964000
arg,2016,25_29,1538.597000
arg,2016,30_34,1525.395000
arg,2016,35_39,1562.746000
arg,2016,40_44,1327.132000
arg,2016,45_49,1112.438000
arg,2016,50_54,992.710400
arg,2016,55_59,830.061500
arg,2016,60_64,648.781600
arg,2016,65,491.116500
arg,2016,total_15,11798.330000
arg,2017,15_19,469.558900
arg,2017,20_24,1294.140000
arg,2017,25_29,1548.691000
arg,2017,30_34,1534.916000
arg,2017,35_39,1557.748000
arg,2017,40_44,1384.714000
arg,2017,45_49,1135.025000
arg,2017,50_54,1001.330000
arg,2017,55_59,841.702200
arg,2017,60_64,653.423700
arg,2017,65,502.784900
arg,2017,total_15,11924.030000
arg,2018,15_19,465.786900
arg,2018,20_24,1290.062000
arg,2018,25_29,1556.877000
arg,2018,30_34,1549.484000
arg,2018,35_39,1541.717000
arg,2018,40_44,1443.128000
arg,2018,45_49,1161.995000
arg,2018,50_54,1010.539000
arg,2018,55_59,854.999100
arg,2018,60_64,657.656900
arg,2018,65,514.293000
arg,2018,total_15,12046.540000
arg,2019,15_19,463.154500
arg,2019,20_24,1284.198000
arg,2019,25_29,1562.658000
arg,2019,30_34,1564.578000
arg,2019,35_39,1527.058000
arg,2019,40_44,1490.817000
arg,2019,45_49,1195.771000
arg,2019,50_54,1022.788000
arg,2019,55_59,868.080700
arg,2019,60_64,663.339400
arg,2019,65,525.443200
arg,2019,total_15,12167.890000
arg,2020,15_19,462.275100
arg,2020,20_24,1277.029000
arg,2020,25_29,1565.699000
arg,2020,30_34,1577.246000
arg,2020,35_39,1521.485000
arg,2020,40_44,1520.867000
arg,2020,45_49,1237.191000
arg,2020,50_54,1039.603000
arg,2020,55_59,879.942000
arg,2020,60_64,671.488900
arg,2020,65,536.129800
arg,2020,total_15,12288.950000
arm,2010,15_19,50.439020
arm,2010,20_24,68.135510
arm,2010,25_29,112.406400
arm,2010,30_34,81.044930
arm,2010,35_39,66.142660
arm,2010,40_44,65.688580
arm,2010,45_49,90.387770
arm,2010,50_54,92.953930
arm,2010,55_59,66.206180
arm,2010,60_64,30.425130
arm,2010,65,45.570800
arm,2010,total_15,769.401000
arm,2011,15_19,47.506290
arm,2011,20_24,67.551950
arm,2011,25_29,117.510700
arm,2011,30_34,85.761470
arm,2011,35_39,67.624560
arm,2011,40_44,62.764430
arm,2011,45_49,85.421130
arm,2011,50_54,93.845010
arm,2011,55_59,70.642010
arm,2011,60_64,33.448030
arm,2011,65,44.916460
arm,2011,total_15,776.992000
arm,2012,15_19,44.271900
arm,2012,20_24,66.097300
