country,year,age_group,mlf
afg,2019,15_19,1059.312000
afg,2019,20_24,1762.901000
afg,2019,25_29,1629.485000
afg,2019,30_34,1341.050000
afg,2019,35_39,1083.751000
afg,2019,40_44,857.544900
afg,2019,45_49,685.780600
afg,2019,50_54,523.606800
afg,2019,55_59,370.119600
afg,2019,60_64,227.614900
afg,2019,65,201.584500
afg,2019,total_15,9742.751000
afg,2020,15_19,1079.041000
afg,2020,20_24,1817.950000
afg,2020,25_29,1695.341000
afg,2020,30_34,1393.887000
afg,2020,35_39,1125.943000
afg,2020,40_44,888.931200
afg,2020,45_49,710.283900
afg,2020,50_54,543.108600
afg,2020,55_59,384.058000
afg,2020,60_64,236.126800
afg,2020,65,206.495600
afg,2020,total_15,10081.170000
alb,1990,15_19,80.716010
alb,1990,20_24,124.970000
alb,1990,25_29,131.364500
alb,1990,30_34,119.172000
alb,1990,35_39,93.714890
alb,1990,40_44,73.552070
alb,1990,45_49,74.893810
alb,1990,50_54,61.338150
alb,1990,55_59,42.932040
alb,1990,60_64,18.549160
alb,1990,65,22.516790
alb,1990,total_15,843.719400
alb,1991,15_19,80.653240
alb,1991,20_24,122.797600
alb,1991,25_29,125.153100
alb,1991,30_34,118.337400
alb,1991,35_39,96.186130
alb,1991,40_44,74.081700
alb,1991,45_49,73.942490
alb,1991,50_54,62.485270
alb,1991,55_59,45.884250
alb,1991,60_64,19.626150
alb,1991,65,26.071750
alb,1991,total_15,845.219000
alb,1992,15_19,77.640070
alb,1992,20_24,117.468500
alb,1992,25_29,119.018300
alb,1992,30_34,117.453500
alb,1992,35_39,98.153790
alb,1992,40_44,75.546830
alb,1992,45_49,71.974850
alb,1992,50_54,63.217820
alb,1992,55_59,47.352240
alb,1992,60_64,20.679910
alb,1992,65,27.246770
alb,1992,total_15,835.752700
alb,1993,15_19,74.791120
alb,1993,20_24,111.291500
alb,1993,25_29,113.661000
alb,1993,30_34,116.630900
alb,1993,35_39,99.713100
alb,1993,40_44,77.747810
alb,1993,45_49,69.710950
alb,1993,50_54,63.628220
alb,1993,55_59,47.550450
alb,1993,60_64,21.417930
alb,1993,65,26.745730
alb,1993,total_15,822.888700
alb,1994,15_19,72.076050
alb,1994,20_24,105.161000
alb,1994,25_29,107.618400
alb,1994,30_34,114.179400
alb,1994,35_39,100.341300
alb,1994,40_44,79.750550
alb,1994,45_49,67.988620
alb,1994,50_54,63.589060
alb,1994,55_59,47.618510
alb,1994,60_64,22.160700
alb,1994,65,26.389080
alb,1994,total_15,806.872700
alb,1995,15_19,69.374530
alb,1995,20_24,99.279300
alb,1995,25_29,102.028400
alb,1995,30_34,110.746200
alb,1995,35_39,100.419700
alb,1995,40_44,81.602960
alb,1995,45_49,67.441740
alb,1995,50_54,63.114450
alb,1995,55_59,47.659190
alb,1995,60_64,22.837950
alb,1995,65,25.840330
alb,1995,total_15,790.344800
alb,1996,15_19,65.947460
alb,1996,20_24,94.928700
alb,1996,25_29,99.248510
alb,1996,30_34,107.224500
alb,1996,35_39,102.849000
alb,1996,40_44,85.178900
alb,1996,45_49,68.528600
alb,1996,50_54,61.758210
alb,1996,55_59,47.972270
alb,1996,60_64,23.787450
alb,1996,65,25.870760
alb,1996,total_15,783.294400
alb,1997,15_19,65.889280
alb,1997,20_24,91.555760
alb,1997,25_29,95.760980
alb,1997,30_34,102.949400
alb,1997,35_39,103.241100
alb,1997,40_44,89.054290
alb,1997,45_49,70.746930
alb,1997,50_54,60.332430
alb,1997,55_59,48.919690
alb,1997,60_64,24.548370
alb,1997,65,27.806650
alb,1997,total_15,780.805000
alb,1998,15_19,65.149150
alb,1998,20_24,85.972120
alb,1998,25_29,93.003230
alb,1998,30_34,100.589600
alb,1998,35_39,101.953000
alb,1998,40_44,94.049370
alb,1998,45_49,73.994060
alb,1998,50_54,59.387130
alb,1998,55_59,49.124640
alb,1998,60_64,25.104860
alb,1998,65,28.052110
alb,1998,total_15,776.379200
alb,1999,15_19,65.746900
alb,1999,20_24,80.885270
alb,1999,25_29,89.549610
alb,1999,30_34,99.068880
alb,1999,35_39,99.092320
alb,1999,40_44,98.871130
alb,1999,45_49,77.998320
alb,1999,50_54,59.603930
alb,1999,55_59,49.295050
alb,1999,60_64,25.645530
alb,1999,65,28.724650
alb,1999,total_15,774.481600
alb,2000,15_19,67.092160
alb,2000,20_24,77.629170
alb,2000,25_29,85.392590
alb,2000,30_34,97.668650
alb,2000,35_39,95.937680
alb,2000,40_44,102.414800
alb,2000,45_49,82.781200
alb,2000,50_54,61.191680
alb,2000,55_59,49.421160
alb,2000,60_64,26.228990
alb,2000,65,29.766540
alb,2000,total_15,775.524600
alb,2001,15_19,67.620080
alb,2001,20_24,79.576640
alb,2001,25_29,82.579510
alb,2001,30_34,96.311740
alb,2001,35_39,94.923510
alb,2001,40_44,102.227900
alb,2001,45_49,86.715330
alb,2001,50_54,62.247330
alb,2001,55_59,48.949670
alb,2001,60_64,26.380320
alb,2001,65,30.064050
alb,2001,total_15,777.596100
alb,2002,15_19,68.632800
alb,2002,20_24,84.302280
alb,2002,25_29,79.790700
alb,2002,30_34,94.627780
alb,2002,35_39,95.527730
alb,2002,40_44,100.600800
alb,2002,45_49,91.650750
alb,2002,50_54,64.361390
alb,2002,55_59,48.593870
alb,2002,60_64,26.745440
alb,2002,65,30.768530
alb,2002,total_15,785.602000
alb,2003,15_19,69.233760
alb,2003,20_24,90.504350
alb,2003,25_29,77.498880
alb,2003,30_34,92.574550
alb,2003,35_39,97.122540
alb,2003,40_44,98.096080
alb,2003,45_49,96.733970
alb,2003,50_54,67.501090
alb,2003,55_59,48.481430
alb,2003,60_64,27.293000
alb,2003,65,31.801060
alb,2003,total_15,796.840700
alb,2004,15_19,69.447460
alb,2004,20_24,96.584590
alb,2004,25_29,76.675130
alb,2004,30_34,90.098800
alb,2004,35_39,98.444490
alb,2004,40_44,95.798430
alb,2004,45_49,100.704800
alb,2004,50_54,71.323720
alb,2004,55_59,48.836990
alb,2004,60_64,27.774330
alb,2004,65,32.823870
alb,2004,total_15,808.512500
alb,2005,15_19,69.321530
alb,2005,20_24,101.451400
alb,2005,25_29,77.933170
alb,2005,30_34,87.314830
alb,2005,35_39,98.566610
alb,2005,40_44,94.513880
alb,2005,45_49,102.750700
alb,2005,50_54,75.531590
alb,2005,55_59,49.876470
alb,2005,60_64,28.068590
alb,2005,65,33.802810
alb,2005,total_15,819.131600
alb,2006,15_19,69.298330
alb,2006,20_24,106.061300
alb,2006,25_29,83.368980
alb,2006,30_34,85.964720
alb,2006,35_39,96.279550
alb,2006,40_44,95.129830
alb,2006,45_49,103.375900
alb,2006,50_54,78.672040
alb,2006,55_59,51.315860
alb,2006,60_64,28.381260
alb,2006,65,35.105890
alb,2006,total_15,832.953700
alb,2007,15_19,68.153830
alb,2007,20_24,109.728500
alb,2007,25_29,90.467960
alb,2007,30_34,84.655260
alb,2007,35_39,93.838290
alb,2007,40_44,95.562090
alb,2007,45_49,102.544100
alb,2007,50_54,82.640430
alb,2007,55_59,52.696220
alb,2007,60_64,28.488680
alb,2007,65,36.381520
alb,2007,total_15,845.156800
alb,2008,15_19,65.920260
alb,2008,20_24,112.719200
alb,2008,25_29,98.077480
alb,2008,30_34,83.856990
alb,2008,35_39,92.106090
alb,2008,40_44,94.883420
alb,2008,45_49,100.921800
alb,2008,50_54,87.128880
alb,2008,55_59,53.922100
alb,2008,60_64,28.543790
alb,2008,65,37.588420
alb,2008,total_15,855.668400
alb,2009,15_19,63.136810
alb,2009,20_24,114.927200
alb,2009,25_29,104.982200
alb,2009,30_34,84.609350
alb,2009,35_39,91.269990
alb,2009,40_44,92.846980
alb,2009,45_49,99.411820
alb,2009,50_54,91.244220
alb,2009,55_59,55.277190
alb,2009,60_64,28.711530
alb,2009,65,38.713280
alb,2009,total_15,865.130500
alb,2010,15_19,60.417850
alb,2010,20_24,115.831400
alb,2010,25_29,110.786100
alb,2010,30_34,87.488010
alb,2010,35_39,90.925520
alb,2010,40_44,90.207600
alb,2010,45_49,98.186380
alb,2010,50_54,94.250150
alb,2010,55_59,57.243630
alb,2010,60_64,29.011310
alb,2010,65,39.763080
alb,2010,total_15,874.111100
alb,2011,15_19,58.806320
alb,2011,20_24,114.402200
alb,2011,25_29,116.024500
alb,2011,30_34,91.108820
alb,2011,35_39,89.792510
alb,2011,40_44,89.879860
alb,2011,45_49,96.224980
alb,2011,50_54,95.941730
alb,2011,55_59,61.406400
alb,2011,60_64,29.535990
alb,2011,65,40.582250
alb,2011,total_15,883.705500
alb,2012,15_19,57.735950
alb,2012,20_24,111.125900
alb,2012,25_29,120.664900
alb,2012,30_34,96.557460
alb,2012,35_39,87.659440
alb,2012,40_44,90.234380
alb,2012,45_49,94.153530
alb,2012,50_54,95.731980
alb,2012,55_59,66.560740
alb,2012,60_64,30.205050
alb,2012,65,41.279110
alb,2012,total_15,891.908400
alb,2013,15_19,57.017770
alb,2013,20_24,106.890600
alb,2013,25_29,124.345800
alb,2013,30_34,103.209800
alb,2013,35_39,85.477580
alb,2013,40_44,90.880980
alb,2013,45_49,92.222870
alb,2013,50_54,94.214010
alb,2013,55_59,71.976690
alb,2013,60_64,31.185760
alb,2013,65,41.928180
alb,2013,total_15,899.350000
alb,2014,15_19,56.253530
alb,2014,20_24,102.980400
alb,2014,25_29,126.563900
alb,2014,30_34,109.987000
alb,2014,35_39,84.676650
alb,2014,40_44,91.113960
alb,2014,45_49,90.674100
alb,2014,50_54,92.313500
alb,2014,55_59,76.523190
alb,2014,60_64,32.725170
alb,2014,65,42.602040
alb,2014,total_15,906.413400
alb,2015,15_19,55.178240
alb,2015,20_24,100.159900
alb,2015,25_29,127.054900
alb,2015,30_34,116.120500
alb,2015,35_39,86.074760
alb,2015,40_44,90.526600
alb,2015,45_49,89.633790
alb,2015,50_54,90.599780
alb,2015,55_59,79.497060
alb,2015,60_64,34.936280
alb,2015,65,43.342170
alb,2015,total_15,913.123900
alb,2016,15_19,53.620230
alb,2016,20_24,97.995000
alb,2016,25_29,125.761900
alb,2016,30_34,121.801700
alb,2016,35_39,89.520740
alb,2016,40_44,89.217110
alb,2016,45_49,89.101660
alb,2016,50_54,88.713040
alb,2016,55_59,80.701330
alb,2016,60_64,37.546180
alb,2016,65,44.140840
alb,2016,total_15,918.119800
alb,2017,15_19,51.919400
alb,2017,20_24,96.888170
alb,2017,25_29,122.568700
alb,2017,30_34,127.097600
alb,2017,35_39,95.015120
alb,2017,40_44,87.093870
alb,2017,45_49,89.457530
alb,2017,50_54,86.918400
alb,2017,55_59,80.504880
alb,2017,60_64,40.876860
alb,2017,65,44.966890
alb,2017,total_15,923.307400
alb,2018,15_19,50.093980
alb,2018,20_24,96.382440
alb,2018,25_29,118.264800
alb,2018,30_34,131.455900
alb,2018,35_39,101.807400
alb,2018,40_44,84.995000
alb,2018,45_49,90.185750
alb,2018,50_54,85.316740
alb,2018,55_59,79.303010
alb,2018,60_64,44.428970
alb,2018,65,45.925910
alb,2018,total_15,928.160000
alb,2019,15_19,48.185560
alb,2019,20_24,95.696850
alb,2019,25_29,114.165600
alb,2019,30_34,134.161000
alb,2019,35_39,108.687000
alb,2019,40_44,84.273930
alb,2019,45_49,90.465680
alb,2019,50_54,84.049800
alb,2019,55_59,77.770880
alb,2019,60_64,47.443160
alb,2019,65,47.156960
alb,2019,total_15,932.056400
alb,2020,15_19,46.232610
alb,2020,20_24,94.373370
alb,2020,25_29,111.138700
alb,2020,30_34,134.838000
alb,2020,35_39,114.815700
alb,2020,40_44,85.742300
alb,2020,45_49,89.862880
alb,2020,50_54,83.214000
alb,2020,55_59,76.351080
alb,2020,60_64,49.460310
alb,2020,65,48.747440
alb,2020,total_15,934.776400
dza,1985,15_19,420.956300
dza,1985,20_24,614.988000
dza,1985,25_29,737.679600
dza,1985,30_34,656.369600
dza,1985,35_39,441.706600
dza,1985,40_44,346.880600
dza,1985,45_49,336.983600
dza,1985,50_54,306.379200
dza,1985,55_59,196.093300
dza,1985,60_64,112.758200
dza,1985,65,99.754790
dza,1986,15_19,449.321600
dza,1986,20_24,664.440800
dza,1986,25_29,771.079200
