country,year,age_group,flf0
dza,2016,35_39,327.804400
dza,2016,40_44,236.654500
dza,2016,45_49,161.799800
dza,2016,50_54,108.137500
dza,2016,55_59,82.915970
dza,2016,60_64,28.056830
dza,2016,65,7.781539
dza,2016,total_15,2097.075000
dza,2017,15_19,93.545720
dza,2017,20_24,180.568500
dza,2017,25_29,420.553000
dza,2017,30_34,442.332000
dza,2017,35_39,339.330200
dza,2017,40_44,243.956000
dza,2017,45_49,166.303800
dza,2017,50_54,112.049600
dza,2017,55_59,87.538000
dza,2017,60_64,28.836090
dza,2017,65,8.138451
dza,2017,total_15,2123.151000
dza,2018,15_19,94.947140
dza,2018,20_24,172.289400
dza,2018,25_29,417.633800
dza,2018,30_34,442.022800
dza,2018,35_39,350.488600
dza,2018,40_44,251.595700
dza,2018,45_49,170.867500
dza,2018,50_54,115.711500
dza,2018,55_59,92.618740
dza,2018,60_64,29.573570
dza,2018,65,8.522658
dza,2018,total_15,2146.271000
dza,2019,15_19,96.809340
dza,2019,20_24,165.388200
dza,2019,25_29,411.917300
dza,2019,30_34,440.624000
dza,2019,35_39,360.016000
dza,2019,40_44,259.796100
dza,2019,45_49,175.717900
dza,2019,50_54,119.320200
dza,2019,55_59,97.646510
dza,2019,60_64,30.530060
dza,2019,65,8.922294
dza,2019,total_15,2166.688000
dza,2020,15_19,98.714040
dza,2020,20_24,161.072900
dza,2020,25_29,402.541300
dza,2020,30_34,438.980000
dza,2020,35_39,367.095600
dza,2020,40_44,268.600100
dza,2020,45_49,180.986600
dza,2020,50_54,122.994700
dza,2020,55_59,102.305700
dza,2020,60_64,31.853440
dza,2020,65,9.331244
dza,2020,total_15,2184.476000
ago,2010,15_19,404.318300
ago,2010,20_24,539.473800
ago,2010,25_29,514.557800
ago,2010,30_34,432.359700
ago,2010,35_39,348.764200
ago,2010,40_44,286.456100
ago,2010,45_49,236.850800
ago,2010,50_54,181.766800
ago,2010,55_59,133.312200
ago,2010,60_64,81.657340
ago,2010,65,104.659100
ago,2010,total_15,3264.176000
ago,2011,15_19,418.128400
ago,2011,20_24,556.890600
ago,2011,25_29,533.075800
ago,2011,30_34,448.836500
ago,2011,35_39,361.539800
ago,2011,40_44,294.336000
ago,2011,45_49,243.488000
ago,2011,50_54,187.620000
ago,2011,55_59,138.270300
ago,2011,60_64,85.068040
ago,2011,65,107.952900
ago,2011,total_15,3375.206000
ago,2012,15_19,432.386900
ago,2012,20_24,574.038100
ago,2012,25_29,551.931500
ago,2012,30_34,465.302900
ago,2012,35_39,375.341500
ago,2012,40_44,302.293400
ago,2012,45_49,249.896700
ago,2012,50_54,193.700000
ago,2012,55_59,142.866400
ago,2012,60_64,89.251510
ago,2012,65,111.007300
ago,2012,total_15,3488.016000
ago,2013,15_19,447.419100
ago,2013,20_24,591.623500
ago,2013,25_29,571.256300
ago,2013,30_34,482.110400
ago,2013,35_39,390.095100
ago,2013,40_44,310.771400
ago,2013,45_49,256.304700
ago,2013,50_54,199.956900
ago,2013,55_59,147.356000
ago,2013,60_64,93.931170
ago,2013,65,114.062200
ago,2013,total_15,3604.887000
ago,2014,15_19,463.697200
ago,2014,20_24,610.756900
ago,2014,25_29,591.234900
ago,2014,30_34,499.831200
ago,2014,35_39,405.678300
ago,2014,40_44,320.429400
ago,2014,45_49,263.058400
ago,2014,50_54,206.314000
ago,2014,55_59,152.151900
ago,2014,60_64,98.708610
ago,2014,65,117.448900
ago,2014,total_15,3729.310000
ago,2015,15_19,481.249100
ago,2015,20_24,632.022300
ago,2015,25_29,611.900100
ago,2015,30_34,518.722300
ago,2015,35_39,421.941200
ago,2015,40_44,331.602600
ago,2015,45_49,270.342500
ago,2015,50_54,212.688100
ago,2015,55_59,157.455000
ago,2015,60_64,103.339100
ago,2015,65,121.347100
ago,2015,total_15,3862.610000
ago,2016,15_19,498.417800
